"Site.Name","Month","Year","meanAQI_Ozone","meanAQI_pm2.5"
"Bryson City",3,2018,41.5806451612903,34.741935483871
"Bryson City",3,2019,42.5161290322581,NA
"Bryson City",4,2018,44.5333333333333,28.1666666666667
"Bryson City",4,2019,45.4,26.7333333333333
"Bryson City",5,2019,39.6,NA
"Bryson City",6,2018,37.8,NA
"Bryson City",6,2019,33.9666666666667,NA
"Bryson City",7,2018,34.6129032258064,NA
"Bryson City",7,2019,30.4193548387097,33.6451612903226
"Bryson City",8,2018,30.8064516129032,NA
"Bryson City",8,2019,32.5806451612903,NA
"Bryson City",9,2018,25.4,25.0666666666667
"Bryson City",9,2019,35.4333333333333,NA
"Bryson City",10,2018,31,31.3225806451613
"Castle Hayne",3,2019,43.3225806451613,NA
"Castle Hayne",4,2018,48.7241379310345,14.8965517241379
"Castle Hayne",4,2019,45.1333333333333,14.3333333333333
"Castle Hayne",5,2018,37.3793103448276,NA
"Castle Hayne",5,2019,42.8064516129032,16.4838709677419
"Castle Hayne",6,2018,40.8666666666667,NA
"Castle Hayne",6,2019,44.7,NA
"Castle Hayne",7,2018,36.4838709677419,15.5161290322581
"Castle Hayne",7,2019,37.8064516129032,NA
"Castle Hayne",8,2018,31.5483870967742,15.741935483871
"Castle Hayne",8,2019,35.2592592592593,NA
"Castle Hayne",9,2018,24,NA
"Castle Hayne",9,2019,36.2608695652174,NA
"Castle Hayne",10,2019,35.2258064516129,11.8387096774194
"Clemmons Middle",3,2018,43.0322580645161,33.1935483870968
"Clemmons Middle",4,2018,51.7666666666667,31.6666666666667
"Clemmons Middle",4,2019,44.6666666666667,39.2166666666667
"Clemmons Middle",5,2018,47.8387096774194,NA
"Clemmons Middle",5,2019,41.9677419354839,40.1451612903226
"Clemmons Middle",6,2018,53.5,42.7333333333333
"Clemmons Middle",6,2019,41.6666666666667,35.8166666666667
"Clemmons Middle",7,2018,50.741935483871,NA
"Clemmons Middle",7,2019,43.1290322580645,40.2741935483871
"Clemmons Middle",8,2018,40.4516129032258,39.6451612903226
"Clemmons Middle",8,2019,42.6774193548387,37.6290322580645
"Clemmons Middle",9,2018,33.2666666666667,32.9666666666667
"Clemmons Middle",9,2019,48.6333333333333,44.6
"Clemmons Middle",10,2019,33.0967741935484,30.0645161290323
"Durham Armory",3,2018,39.9032258064516,NA
"Durham Armory",3,2019,42.258064516129,NA
"Durham Armory",4,2018,47.7333333333333,NA
"Durham Armory",4,2019,43,27.5833333333333
"Durham Armory",5,2019,44.2903225806452,31.3548387096774
"Durham Armory",6,2019,43.5333333333333,32.3
"Durham Armory",7,2018,43.0645161290323,39.9193548387097
"Durham Armory",7,2019,43.7741935483871,NA
"Durham Armory",8,2018,40.1612903225806,NA
"Durham Armory",8,2019,41.741935483871,25.2096774193548
"Durham Armory",9,2018,31.8260869565217,NA
"Durham Armory",9,2019,43.448275862069,NA
"Durham Armory",10,2018,30.0645161290323,NA
"Durham Armory",10,2019,34.5483870967742,NA
"Frying Pan Mountain",1,2019,40.2,NA
"Frying Pan Mountain",3,2018,46,NA
"Frying Pan Mountain",3,2019,50.2258064516129,NA
"Frying Pan Mountain",4,2019,53,NA
"Frying Pan Mountain",5,2019,45.5161290322581,NA
"Frying Pan Mountain",6,2019,44.9,NA
"Frying Pan Mountain",7,2018,43.8709677419355,NA
"Frying Pan Mountain",7,2019,40.6129032258064,NA
"Frying Pan Mountain",8,2018,38.9677419354839,NA
"Frying Pan Mountain",8,2019,43.1612903225806,NA
"Frying Pan Mountain",9,2019,47.7931034482759,NA
"Frying Pan Mountain",10,2018,38.9,NA
"Frying Pan Mountain",10,2019,41.9677419354839,NA
"Garinger High School",2,2019,31.6428571428571,29.5238095238095
"Garinger High School",3,2018,40.5161290322581,31.6129032258065
"Garinger High School",3,2019,41.2258064516129,30.9354838709677
"Garinger High School",4,2019,44.5,30.8055555555556
"Garinger High School",5,2018,49.1290322580645,32.5322580645161
"Garinger High School",5,2019,44.8333333333333,NA
"Garinger High School",6,2018,58,NA
"Garinger High School",6,2019,48.1333333333333,NA
"Garinger High School",7,2018,49.9032258064516,35.5161290322581
"Garinger High School",7,2019,54.258064516129,40.7956989247312
"Garinger High School",8,2018,46.4838709677419,33.741935483871
"Garinger High School",8,2019,52.6451612903226,36.1612903225806
"Garinger High School",9,2018,35.7083333333333,NA
"Garinger High School",9,2019,59.2333333333333,42.7333333333333
"Garinger High School",10,2018,33,29.0322580645161
"Garinger High School",10,2019,39.8064516129032,29.3548387096774
